"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT10"
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-01","10.29",,"0.07",,,"44","47","42","   60","   50","17.0","21.9","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-02","5.82",,"0.25",,,"50","56","47","   50","  360","12.1","15.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-03","5.82",,"0.75",,,"52","55","42","  280","  290","21.9","25.9","    1",,"    1",,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-04","11.41",,"0.00",,,"47","55","38","  350","  350","23.0","29.1",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-05","6.49",,"0.00",,,"40","51","34","   10","   20","18.1","23.9",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-06","2.01",,"0.00",,,"46","65","35","  160","  160","8.9","13.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-07","11.41",,"0.00",,,"52","62","41","   20","   20","29.1","38.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-08","7.38",,"0.00",,,"39","43","30","   40","   40","21.0","25.9",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-09","11.41",,"0.05",,,"39","42","37","   40","   30","21.9","25.9","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-10","10.96",,"0.23",,,"39","41","38","   60","   50","17.0","21.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-11","5.82",,"1.38",,,"44","50","40","  270","  270","19.9","23.0","    1","    1","    1",,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-12","10.74",,"0.00",,,"47","49","44","  360","   20","19.9","25.1","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-13","11.41",,"0.00",,,"45","46","43","   10","   20","21.0","28.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-14","8.95",,"0.00",,,"43","45","41","   20","   20","17.0","21.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-15","7.83",,"0.04",,,"45","53","40","  360","   10","17.0","21.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-16","2.24",,"0.00",,,"47","60","35","  170","  170","8.1","10.1",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-17","4.92",,"0.00",,,"52","68","41","  220","  220","16.1","21.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-18","5.14",,"0.00",,,"56","68","45","   10","  130","14.1","25.1",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-19","5.37",,"0.00",,,"53","72","38","  160","  150","16.1","21.9","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-20","3.13",,"0.00",,,"60","74","50","  150","  150","13.0","15.0","    1","    1",,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-21","7.83",,"0.00",,,"60","63","56","   80","   80","18.1","23.9","    1","    1",,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-22","16.33",,"2.35",,,"58","61","46","   30","   20","30.0","38.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-23","12.53",,"0.01",,,"44","46","40","  330","  320","23.0","29.1","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-24","7.61",,"0.00",,,"46","61","35","  240","  270","15.0","25.1",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-25","8.95",,"0.00",,,"53","70","41","  290","  280","17.0","23.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-26","6.49",,"0.00",,,"58","68","43","  280","  270","13.0","16.1",,,,,,,,"    1",
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-27","4.92",,"0.00",,,"60","79","48","  290","  290","12.1","15.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-28","4.03",,"0.00",,,"62","78","48","  170","  180","15.0","18.1","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-29","4.47",,"0.00",,,"62","75","51","   20","   10","17.0","21.9","    1","    1",,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-30","10.07",,"0.00",,,"60","64","50","   10","   10","21.0","25.1",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-01-31","10.51",,"0.00",,,"54","63","49","  110","  130","19.9","25.1",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-01","12.08",,"0.00",,,"66","77","52","  360","  350","28.0","35.1","    1",,"    1",,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-02","13.65",,"0.00",,,"49","52","38","  360","  350","28.0","36.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-03","5.82",,"0.13",,,"45","49","44","   60","   60","14.1","17.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-04","4.03",,"0.14",,,"49","60","43","   70","   70","13.0","16.1","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-05","10.07",,"0.01",,,"52","56","43","  340","  350","17.0","21.9","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-06","3.36",,"0.00",,,"47","56","42","  350","  350","8.9","10.1",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-07","6.93",,"0.00",,,"53","69","40","  180","  170","16.1","23.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-08","7.83",,"0.00",,,"62","76","52","  220","  210","21.9","31.1","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-09","7.38",,"0.00",,,"68","83","58","  320","  340","19.9","23.9","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-10","5.14",,"0.00",,,"62","73","50","  160","  150","12.1","17.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-11","4.47",,"0.00",,,"60","72","49","  110","  100","15.0","21.0","    1","    1",,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-12","9.84",,"0.00",,,"58","67","50","  360","  360","21.0","25.1","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-13","5.59",,"0.00",,,"54","65","46","   80","  150","13.0","16.1",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-14","6.04",,"0.00",,,"60","76","48","  250","  210","17.0","21.9","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-15","7.38",,"0.00",,,"63","71","53","  170","  160","15.0","23.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-16","13.42",,"0.14",,,"60","69","38","  280","  290","29.1","40.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-17","10.51",,"0.01",,,"42","53","36","  350","  350","21.0","23.9",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-18","5.82",,"0.00",,,"47","63","36","  270","  260","16.1","21.9",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-19","7.16",,"0.00",,,"51","64","38","  150","  160","16.1","19.9",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-20","14.09",,"0.00",,,"63","70","57","  170","  170","25.9","36.9",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-21","9.40",,"0.16",,,"68","73","65","  170","  150","17.0","23.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-22","8.72",,"0.01",,,"69","78","47","  350","  360","23.9","28.0","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-23","15.21",,"0.06",,,"45","47","35","   10","   10","23.0","25.9","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-24","7.38",,"0.00",,,"37","42","34","  360","   10","15.0","18.1","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-25","9.40",,"0.07",,,"42","52","39","  320","  320","21.0","25.1","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-26","11.41",,"0.00",,,"43","57","35","  360","   10","21.0","28.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-27","11.41",,"0.00",,,"42","46","39","   60","   60","23.9","30.0",,,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-02-28","11.41",,"0.02",,,"47","57","41","   90","  100","18.1","23.9","    1",,,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-03-01","7.38",,"0.27",,,"60","68","53","  350","   80","13.0","17.0","    1","    1",,,,,,"    1",
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-03-02","6.71",,"0.00",,,"55","63","49","  350",,"10.1",,"    1","    1",,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-03-03","9.17",,"0.00",,,"64","80","58","  180","  180","21.9","31.1","    1","    1",,,,,,,
"USW00012918","HOUSTON WILLIAM P HOBBY AIRPORT, TX US","29.63806","-95.28194","13.4","2015-03-04","10.51",,"0.02",,,"72","81","46","  340","  310","23.9","32.0","    1",,,,,,,,
