Date Time,Air Temperature,Water Level,Water Level Sigma,Wind Speed,Wind Direction,Wind Gust
2020-01-01 00:00:00,59.0,1.499,0.197,12.44,30.00,15.94
2020-01-01 00:06:00,59.0,1.486,0.180,13.41,33.00,16.33
2020-01-01 00:12:00,59.2,1.490,0.194,12.83,37.00,14.97
2020-01-01 00:18:00,59.2,1.578,0.223,12.44,34.00,15.16
2020-01-01 00:24:00,59.0,1.522,0.194,13.22,28.00,16.13
2020-01-01 00:30:00,59.2,1.539,0.210,12.83,23.00,15.36
2020-01-01 00:36:00,59.2,1.552,0.240,13.02,30.00,15.36
2020-01-01 00:42:00,59.4,1.585,0.210,13.41,30.00,17.49
2020-01-01 00:48:00,59.2,1.529,0.210,13.02,31.00,15.36
2020-01-01 00:54:00,59.4,1.568,0.217,13.22,33.00,15.36
2020-01-01 01:00:00,59.4,1.601,0.184,13.02,27.00,15.16
2020-01-01 01:06:00,59.4,1.535,0.223,13.41,39.00,14.77
2020-01-01 01:12:00,59.4,1.598,0.213,11.47,38.00,14.97
2020-01-01 01:18:00,59.4,1.644,0.190,11.08,39.00,12.83
2020-01-01 01:24:00,59.4,1.706,0.194,12.44,47.00,14.00
2020-01-01 01:30:00,59.5,1.627,0.190,12.63,46.00,14.38
2020-01-01 01:36:00,59.5,1.614,0.203,12.83,48.00,14.97
2020-01-01 01:42:00,59.7,1.644,0.171,11.86,43.00,14.00
2020-01-01 01:48:00,59.5,1.693,0.190,12.44,39.00,15.16
2020-01-01 01:54:00,59.7,1.703,0.200,11.47,45.00,13.61
2020-01-01 02:00:00,59.7,1.637,0.184,12.83,45.00,14.38
2020-01-01 02:06:00,59.9,1.640,0.180,11.86,41.00,14.19
2020-01-01 02:12:00,59.9,1.706,0.171,10.30,36.00,13.61
2020-01-01 02:18:00,59.9,1.726,0.197,12.44,41.00,14.58
2020-01-01 02:24:00,59.9,1.696,0.213,12.25,49.00,13.41
2020-01-01 02:30:00,59.9,1.673,0.154,11.47,45.00,13.61
2020-01-01 02:36:00,60.1,1.729,0.167,11.47,46.00,13.02
2020-01-01 02:42:00,60.1,1.759,0.190,12.25,44.00,14.00
2020-01-01 02:48:00,60.1,1.719,0.174,9.72,44.00,13.61
